cohort	gene	diplotype	phenotype	n_carriers
Peru	NAT2	*13/*13	Indeterminate	1
Peru	NAT2	*13/*22	Indeterminate	1
Peru	NAT2	*5/*12	Indeterminate	113
Peru	NAT2	*5/*13	Indeterminate	6
Peru	NAT2	*5/*5	Indeterminate	43
Peru	NAT2	*5/*6	Indeterminate	41
Peru	NAT2	*5/*7	Indeterminate	82
Peru	NAT2	*6/*12	Indeterminate	50
Peru	NAT2	*6/*13	Indeterminate	2
Peru	NAT2	*6/*22	Indeterminate	3
Peru	NAT2	*6/*6	Indeterminate	11
Peru	NAT2	*6/*7	Indeterminate	38
Peru	NAT2	*7/*12	Indeterminate	146
Peru	NAT2	*7/*13	Indeterminate	2
Peru	NAT2	*7/*22	Indeterminate	1
Peru	NAT2	*7/*7	Indeterminate	68
Peru	NUDT15	*1/*1	Normal Metabolizer	736
Peru	RYR1	Reference/Reference	Uncertain Susceptibility	736
Peru	SLCO1B1	*1/*1	Normal Function	202
Peru	SLCO1B1	*1/*15	Decreased Function	102
Peru	SLCO1B1	*1/*20	Normal Function	8
Peru	SLCO1B1	*1/*37	Normal Function	236
Peru	SLCO1B1	*1/*5	Decreased Function	3
Peru	SLCO1B1	*15/*15	Poor Function	11
Peru	SLCO1B1	*15/*37	Decreased Function	65
Peru	SLCO1B1	*20/*37	Normal Function	6
Peru	SLCO1B1	*37/*37	Normal Function	98
Peru	SLCO1B1	*5/*15	Poor Function	4
Peru	SLCO1B1	*5/*37	Decreased Function	1
Peru	TPMT	*1/*1	Normal Metabolizer	647
Peru	TPMT	*1/*3B	Intermediate Metabolizer	88
Peru	TPMT	*3B/*3B	Poor Metabolizer	1
Peru	UGT1A1	*1/*1	Normal Metabolizer	204
Peru	UGT1A1	*1/*80	Indeterminate	348
Peru	UGT1A1	*80/*80	Indeterminate	184
Peru	VKORC1	Reference/Reference	Indeterminate	243
Peru	VKORC1	Reference/rs9923231	Indeterminate	338
Peru	VKORC1	rs9923231/rs9923231	Indeterminate	155
UGR	CACNA1S	Reference/Reference	Uncertain Susceptibility	6407
UGR	CFTR	Reference/Reference	Indeterminate	6407
UGR	CYP2B6	*1/*1	Normal Metabolizer	1167
UGR	CYP2B6	*1/*17	Normal Metabolizer	40
UGR	CYP2B6	*1/*18	Intermediate Metabolizer	404
UGR	CYP2B6	*1/*2	Normal Metabolizer	397
UGR	CYP2B6	*1/*22	Rapid Metabolizer	208
UGR	CYP2B6	*1/*9	Intermediate Metabolizer	2087
UGR	CYP2B6	*17/*17	Normal Metabolizer	3
UGR	CYP2B6	*17/*18	Intermediate Metabolizer	11
UGR	CYP2B6	*18/*18	Poor Metabolizer	27
UGR	CYP2B6	*18/*22	Intermediate Metabolizer	31
UGR	CYP2B6	*2/*17	Normal Metabolizer	5
UGR	CYP2B6	*2/*18	Intermediate Metabolizer	48
UGR	CYP2B6	*2/*2	Normal Metabolizer	30
UGR	CYP2B6	*2/*22	Rapid Metabolizer	22
UGR	CYP2B6	*2/*9	Intermediate Metabolizer	345
UGR	CYP2B6	*22/*22	Ultrarapid Metabolizer	4
UGR	CYP2B6	*9/*17	Intermediate Metabolizer	42
UGR	CYP2B6	*9/*18	Poor Metabolizer	346
UGR	CYP2B6	*9/*22	Intermediate Metabolizer	186
UGR	CYP2B6	*9/*9	Poor Metabolizer	1004
UGR	CYP2C19	*1/*1	Normal Metabolizer	2010
UGR	CYP2C19	*1/*13	Normal Metabolizer	168
UGR	CYP2C19	*1/*15	Normal Metabolizer	145
UGR	CYP2C19	*1/*17	Rapid Metabolizer	1363
UGR	CYP2C19	*1/*2	Intermediate Metabolizer	1265
UGR	CYP2C19	*1/*3	Intermediate Metabolizer	53
UGR	CYP2C19	*1/*35	Intermediate Metabolizer	160
UGR	CYP2C19	*1/*9	Likely Intermediate Metabolizer	90
UGR	CYP2C19	*13/*13	Normal Metabolizer	4
UGR	CYP2C19	*13/*15	Normal Metabolizer	6
UGR	CYP2C19	*13/*17	Rapid Metabolizer	66
UGR	CYP2C19	*13/*35	Intermediate Metabolizer	3
UGR	CYP2C19	*15/*15	Normal Metabolizer	7
UGR	CYP2C19	*15/*17	Rapid Metabolizer	42
UGR	CYP2C19	*15/*35	Intermediate Metabolizer	6
UGR	CYP2C19	*17/*17	Ultrarapid Metabolizer	226
UGR	CYP2C19	*17/*35	Intermediate Metabolizer	61
UGR	CYP2C19	*2/*13	Intermediate Metabolizer	52
UGR	CYP2C19	*2/*15	Intermediate Metabolizer	62
UGR	CYP2C19	*2/*17	Intermediate Metabolizer	303
UGR	CYP2C19	*2/*2	Poor Metabolizer	174
UGR	CYP2C19	*2/*3	Poor Metabolizer	12
UGR	CYP2C19	*2/*35	Poor Metabolizer	49
UGR	CYP2C19	*2/*9	Likely Poor Metabolizer	21
UGR	CYP2C19	*3/*13	Intermediate Metabolizer	1
UGR	CYP2C19	*3/*15	Intermediate Metabolizer	3
UGR	CYP2C19	*3/*17	Intermediate Metabolizer	14
UGR	CYP2C19	*3/*3	Poor Metabolizer	1
UGR	CYP2C19	*3/*35	Poor Metabolizer	2
UGR	CYP2C19	*35/*35	Poor Metabolizer	4
UGR	CYP2C19	*9/*13	Likely Intermediate Metabolizer	3
UGR	CYP2C19	*9/*15	Likely Intermediate Metabolizer	3
UGR	CYP2C19	*9/*17	Likely Intermediate Metabolizer	26
UGR	CYP2C19	*9/*35	Likely Poor Metabolizer	2
UGR	CYP2C9	*1/*1	Normal Metabolizer	3597
UGR	CYP2C9	*1/*11	Intermediate Metabolizer	161
UGR	CYP2C9	*1/*31	Intermediate Metabolizer	53
UGR	CYP2C9	*1/*5	Intermediate Metabolizer	105
UGR	CYP2C9	*1/*8	Intermediate Metabolizer	688
UGR	CYP2C9	*1/*9	Normal Metabolizer	1409
UGR	CYP2C9	*11/*11	Intermediate Metabolizer	1
UGR	CYP2C9	*5/*11	Intermediate Metabolizer	3
UGR	CYP2C9	*5/*5	Intermediate Metabolizer	1
UGR	CYP2C9	*5/*8	Intermediate Metabolizer	8
UGR	CYP2C9	*5/*9	Intermediate Metabolizer	14
UGR	CYP2C9	*8/*11	Intermediate Metabolizer	9
UGR	CYP2C9	*8/*8	Intermediate Metabolizer	36
UGR	CYP2C9	*8/*9	Intermediate Metabolizer	140
UGR	CYP2C9	*9/*11	Intermediate Metabolizer	32
UGR	CYP2C9	*9/*31	Intermediate Metabolizer	5
UGR	CYP2C9	*9/*9	Normal Metabolizer	145
UGR	CYP2D6	*1/*1	Normal Metabolizer	568
UGR	CYP2D6	*1/*10	Normal Metabolizer	53
UGR	CYP2D6	*1/*107	Indeterminate	1
UGR	CYP2D6	*1/*17	Normal Metabolizer	504
UGR	CYP2D6	*1/*2	Normal Metabolizer	434
UGR	CYP2D6	*1/*29	Normal Metabolizer	483
UGR	CYP2D6	*1/*4	Intermediate Metabolizer	124
UGR	CYP2D6	*1/*41	Normal Metabolizer	143
UGR	CYP2D6	*1/*43	Indeterminate	34
UGR	CYP2D6	*1/*45	Normal Metabolizer	197
UGR	CYP2D6	*1/*46	Normal Metabolizer	22
UGR	CYP2D6	*10/*10	Intermediate Metabolizer	6
UGR	CYP2D6	*10/*17	Intermediate Metabolizer	47
UGR	CYP2D6	*10/*29	Intermediate Metabolizer	46
UGR	CYP2D6	*10/*41	Intermediate Metabolizer	10
UGR	CYP2D6	*10/*43	Indeterminate	3
UGR	CYP2D6	*10/*45	Normal Metabolizer	14
UGR	CYP2D6	*10/*46	Normal Metabolizer	2
UGR	CYP2D6	*17/*17	Intermediate Metabolizer	387
UGR	CYP2D6	*17/*29	Intermediate Metabolizer	419
UGR	CYP2D6	*17/*41	Intermediate Metabolizer	128
UGR	CYP2D6	*17/*43	Indeterminate	33
UGR	CYP2D6	*17/*45	Normal Metabolizer	143
UGR	CYP2D6	*17/*46	Normal Metabolizer	19
UGR	CYP2D6	*2/*10	Normal Metabolizer	43
UGR	CYP2D6	*2/*107	Indeterminate	4
UGR	CYP2D6	*2/*17	Normal Metabolizer	559
UGR	CYP2D6	*2/*2	Normal Metabolizer	161
UGR	CYP2D6	*2/*29	Normal Metabolizer	548
UGR	CYP2D6	*2/*4	Intermediate Metabolizer	62
UGR	CYP2D6	*2/*41	Normal Metabolizer	89
UGR	CYP2D6	*2/*43	Indeterminate	24
UGR	CYP2D6	*2/*45	Normal Metabolizer	116
UGR	CYP2D6	*2/*46	Normal Metabolizer	9
UGR	CYP2D6	*29/*107	Indeterminate	10
UGR	CYP2D6	*29/*29	Intermediate Metabolizer	320
UGR	CYP2D6	*29/*41	Intermediate Metabolizer	102
UGR	CYP2D6	*29/*43	Indeterminate	24
UGR	CYP2D6	*29/*45	Normal Metabolizer	101
UGR	CYP2D6	*29/*46	Normal Metabolizer	25
UGR	CYP2D6	*4/*10	Intermediate Metabolizer	5
UGR	CYP2D6	*4/*17	Intermediate Metabolizer	93
UGR	CYP2D6	*4/*29	Intermediate Metabolizer	89
UGR	CYP2D6	*4/*4	Poor Metabolizer	13
UGR	CYP2D6	*4/*41	Intermediate Metabolizer	19
UGR	CYP2D6	*4/*43	Indeterminate	7
UGR	CYP2D6	*4/*45	Intermediate Metabolizer	32
UGR	CYP2D6	*4/*46	Intermediate Metabolizer	2
UGR	CYP2D6	*41/*107	Indeterminate	1
UGR	CYP2D6	*41/*41	Intermediate Metabolizer	24
UGR	CYP2D6	*41/*43	Indeterminate	7
UGR	CYP2D6	*41/*45	Normal Metabolizer	39
UGR	CYP2D6	*41/*46	Normal Metabolizer	3
UGR	CYP2D6	*43/*43	Indeterminate	2
UGR	CYP2D6	*43/*45	Indeterminate	13
UGR	CYP2D6	*43/*46	Indeterminate	1
UGR	CYP2D6	*45/*107	Indeterminate	1
UGR	CYP2D6	*45/*45	Normal Metabolizer	28
UGR	CYP2D6	*45/*46	Normal Metabolizer	9
UGR	CYP2D6	*46/*46	Normal Metabolizer	2
UGR	CYP3A5	*3/*3	Poor Metabolizer	2887
UGR	CYP3A5	*3/*6	Poor Metabolizer	2052
UGR	CYP3A5	*3/*7	Poor Metabolizer	850
UGR	CYP3A5	*6/*6	Poor Metabolizer	318
UGR	CYP3A5	*6/*7	Poor Metabolizer	230
UGR	CYP3A5	*7/*7	Poor Metabolizer	70
UGR	CYP4F2	*1/*1	Indeterminate	1637
UGR	CYP4F2	*1/*2	Indeterminate	1520
UGR	CYP4F2	*1/*3	Indeterminate	341
UGR	CYP4F2	*1/*4	Indeterminate	276
UGR	CYP4F2	*1/*5	Indeterminate	621
UGR	CYP4F2	*1/*6	Indeterminate	311
UGR	CYP4F2	*1/*7	Indeterminate	87
UGR	CYP4F2	*2/*2	Indeterminate	351
UGR	CYP4F2	*2/*3	Indeterminate	178
UGR	CYP4F2	*2/*4	Indeterminate	129
UGR	CYP4F2	*2/*5	Indeterminate	298
UGR	CYP4F2	*2/*6	Indeterminate	152
UGR	CYP4F2	*2/*7	Indeterminate	53
UGR	CYP4F2	*3/*3	Indeterminate	12
UGR	CYP4F2	*3/*4	Indeterminate	25
UGR	CYP4F2	*3/*5	Indeterminate	64
UGR	CYP4F2	*3/*6	Indeterminate	43
UGR	CYP4F2	*3/*7	Indeterminate	7
UGR	CYP4F2	*4/*4	Indeterminate	20
UGR	CYP4F2	*4/*5	Indeterminate	60
UGR	CYP4F2	*4/*6	Indeterminate	21
UGR	CYP4F2	*4/*7	Indeterminate	4
UGR	CYP4F2	*5/*5	Indeterminate	72
UGR	CYP4F2	*5/*6	Indeterminate	72
UGR	CYP4F2	*5/*7	Indeterminate	21
UGR	CYP4F2	*6/*6	Indeterminate	26
UGR	CYP4F2	*6/*7	Indeterminate	6
UGR	DPYD	c.1218G>A/c.1218G>A	Normal Metabolizer	52
UGR	DPYD	c.1218G>A/c.1349C>T	Normal Metabolizer	1
UGR	DPYD	c.1218G>A/c.1371C>T	Normal Metabolizer	30
UGR	DPYD	c.1218G>A/c.1627A>G (*5)	Normal Metabolizer	244
UGR	DPYD	c.1218G>A/c.1896T>C	Normal Metabolizer	5
UGR	DPYD	c.1218G>A/c.2194G>A (*6)	Normal Metabolizer	8
UGR	DPYD	c.1218G>A/c.3067C>A	Normal Metabolizer	10
UGR	DPYD	c.1349C>T/c.1627A>G (*5)	Normal Metabolizer	6
UGR	DPYD	c.1349C>T/c.1896T>C	Normal Metabolizer	1
UGR	DPYD	c.1349C>T/c.2194G>A (*6)	Normal Metabolizer	1
UGR	DPYD	c.1371C>T/c.1371C>T	Normal Metabolizer	4
UGR	DPYD	c.1371C>T/c.1627A>G (*5)	Normal Metabolizer	66
UGR	DPYD	c.1371C>T/c.1896T>C	Normal Metabolizer	1
UGR	DPYD	c.1371C>T/c.2194G>A (*6)	Normal Metabolizer	4
UGR	DPYD	c.1371C>T/c.3067C>A	Normal Metabolizer	7
UGR	DPYD	c.1627A>G (*5)/c.1627A>G (*5)	Normal Metabolizer	290
UGR	DPYD	c.1627A>G (*5)/c.1896T>C	Normal Metabolizer	14
UGR	DPYD	c.1627A>G (*5)/c.2194G>A (*6)	Normal Metabolizer	30
UGR	DPYD	c.1627A>G (*5)/c.3067C>A	Normal Metabolizer	21
UGR	DPYD	c.1896T>C/c.2194G>A (*6)	Normal Metabolizer	1
UGR	DPYD	c.496A>G/c.1218G>A	Normal Metabolizer	37
UGR	DPYD	c.496A>G/c.1349C>T	Normal Metabolizer	3
UGR	DPYD	c.496A>G/c.1371C>T	Normal Metabolizer	15
UGR	DPYD	c.496A>G/c.1627A>G (*5)	Normal Metabolizer	78
UGR	DPYD	c.496A>G/c.1896T>C	Normal Metabolizer	2
UGR	DPYD	c.496A>G/c.2194G>A (*6)	Normal Metabolizer	5
UGR	DPYD	c.496A>G/c.3067C>A	Normal Metabolizer	1
UGR	DPYD	c.496A>G/c.496A>G	Normal Metabolizer	10
UGR	DPYD	c.496A>G/c.557A>G	Intermediate Metabolizer	6
UGR	DPYD	c.557A>G/c.1218G>A	Intermediate Metabolizer	31
UGR	DPYD	c.557A>G/c.1349C>T	Intermediate Metabolizer	4
UGR	DPYD	c.557A>G/c.1371C>T	Intermediate Metabolizer	6
UGR	DPYD	c.557A>G/c.1627A>G (*5)	Intermediate Metabolizer	73
UGR	DPYD	c.557A>G/c.1896T>C	Intermediate Metabolizer	1
UGR	DPYD	c.557A>G/c.2194G>A (*6)	Intermediate Metabolizer	3
UGR	DPYD	c.557A>G/c.3067C>A	Intermediate Metabolizer	3
UGR	DPYD	c.557A>G/c.557A>G	Intermediate Metabolizer	5
UGR	DPYD	c.85T>C (*9A)/c.1218G>A	Normal Metabolizer	635
UGR	DPYD	c.85T>C (*9A)/c.1349C>T	Normal Metabolizer	78
UGR	DPYD	c.85T>C (*9A)/c.1371C>T	Normal Metabolizer	173
UGR	DPYD	c.85T>C (*9A)/c.1627A>G (*5)	Normal Metabolizer	1641
UGR	DPYD	c.85T>C (*9A)/c.1896T>C	Normal Metabolizer	25
UGR	DPYD	c.85T>C (*9A)/c.2194G>A (*6)	Normal Metabolizer	66
UGR	DPYD	c.85T>C (*9A)/c.3067C>A	Normal Metabolizer	73
UGR	DPYD	c.85T>C (*9A)/c.496A>G	Normal Metabolizer	217
UGR	DPYD	c.85T>C (*9A)/c.557A>G	Intermediate Metabolizer	176
UGR	DPYD	c.85T>C (*9A)/c.85T>C (*9A)	Normal Metabolizer	2244
UGR	IFNL3	Reference/Reference	Favorable Response	1855
UGR	IFNL3	Reference/rs12980275	Indeterminate	2697
UGR	IFNL3	Reference/rs8099917	Indeterminate	302
UGR	IFNL3	rs12980275/rs12980275	Indeterminate	1073
UGR	IFNL3	rs8099917/rs12980275	Indeterminate	453
UGR	IFNL3	rs8099917/rs8099917	Indeterminate	27
UGR	NAT2	*11/*12	Indeterminate	1
UGR	NAT2	*12/*12	Indeterminate	197
UGR	NAT2	*12/*13	Indeterminate	157
UGR	NAT2	*12/*14	Indeterminate	209
UGR	NAT2	*12/*22	Indeterminate	14
UGR	NAT2	*12/*24	Indeterminate	24
UGR	NAT2	*13/*13	Indeterminate	31
UGR	NAT2	*13/*14	Indeterminate	97
UGR	NAT2	*13/*22	Indeterminate	9
UGR	NAT2	*13/*24	Indeterminate	6
UGR	NAT2	*14/*14	Indeterminate	80
UGR	NAT2	*14/*22	Indeterminate	9
UGR	NAT2	*14/*24	Indeterminate	12
UGR	NAT2	*22/*24	Indeterminate	1
UGR	NAT2	*24/*24	Indeterminate	1
UGR	NAT2	*5/*12	Indeterminate	824
UGR	NAT2	*5/*13	Indeterminate	362
UGR	NAT2	*5/*14	Indeterminate	451
UGR	NAT2	*5/*22	Indeterminate	38
UGR	NAT2	*5/*23	Indeterminate	30
UGR	NAT2	*5/*24	Indeterminate	36
UGR	NAT2	*5/*5	Indeterminate	868
UGR	NAT2	*5/*6	Indeterminate	1149
UGR	NAT2	*5/*7	Indeterminate	66
UGR	NAT2	*6/*12	Indeterminate	537
UGR	NAT2	*6/*13	Indeterminate	247
UGR	NAT2	*6/*14	Indeterminate	342
UGR	NAT2	*6/*22	Indeterminate	19
UGR	NAT2	*6/*24	Indeterminate	35
UGR	NAT2	*6/*6	Indeterminate	463
UGR	NAT2	*6/*7	Indeterminate	37
UGR	NAT2	*7/*12	Indeterminate	24
UGR	NAT2	*7/*13	Indeterminate	12
UGR	NAT2	*7/*14	Indeterminate	17
UGR	NAT2	*7/*7	Indeterminate	2
UGR	NUDT15	*1/*1	Normal Metabolizer	6407
UGR	RYR1	Reference/Reference	Uncertain Susceptibility	6407
UGR	SLCO1B1	*1/*1	Normal Function	3908
UGR	SLCO1B1	*1/*19	Indeterminate	741
UGR	SLCO1B1	*1/*4	Indeterminate	418
UGR	SLCO1B1	*1/*41	Indeterminate	334
UGR	SLCO1B1	*1/*5	Decreased Function	315
UGR	SLCO1B1	*1/*9	Decreased Function	382
UGR	SLCO1B1	*19/*19	Indeterminate	34
UGR	SLCO1B1	*19/*41	Indeterminate	22
UGR	SLCO1B1	*4/*19	Indeterminate	39
UGR	SLCO1B1	*4/*4	Indeterminate	13
UGR	SLCO1B1	*4/*41	Indeterminate	17
UGR	SLCO1B1	*4/*5	Possible Decreased Function	24
UGR	SLCO1B1	*4/*9	Possible Decreased Function	15
UGR	SLCO1B1	*41/*41	Indeterminate	11
UGR	SLCO1B1	*5/*19	Possible Decreased Function	29
UGR	SLCO1B1	*5/*41	Possible Decreased Function	19
UGR	SLCO1B1	*5/*5	Poor Function	10
UGR	SLCO1B1	*5/*9	Poor Function	19
UGR	SLCO1B1	*9/*19	Possible Decreased Function	36
UGR	SLCO1B1	*9/*41	Possible Decreased Function	15
UGR	SLCO1B1	*9/*9	Poor Function	6
UGR	TPMT	*1/*1	Normal Metabolizer	5108
UGR	TPMT	*1/*3C	Intermediate Metabolizer	1105
UGR	TPMT	*1/*8	Indeterminate	120
UGR	TPMT	*3C/*3C	Poor Metabolizer	62
UGR	TPMT	*3C/*8	Possible Intermediate Metabolizer	11
UGR	TPMT	*8/*8	Indeterminate	1
UGR	UGT1A1	*1/*1	Normal Metabolizer	1889
UGR	UGT1A1	*1/*80	Indeterminate	3164
UGR	UGT1A1	*80/*80	Indeterminate	1354
UGR	VKORC1	Reference/Reference	Indeterminate	5221
UGR	VKORC1	Reference/rs9923231	Indeterminate	1132
UGR	VKORC1	rs9923231/rs9923231	Indeterminate	54
1000G_IBS	CACNA1S	Reference/Reference	Uncertain Susceptibility	93
1000G_IBS	CFTR	Reference/F508del	Indeterminate	1
1000G_IBS	CFTR	Reference/Reference	Indeterminate	92
1000G_IBS	CYP2B6	*1/*1	Normal Metabolizer	31
1000G_IBS	CYP2B6	*1/*10	Indeterminate	1
1000G_IBS	CYP2B6	*1/*11	Indeterminate	2
1000G_IBS	CYP2B6	*1/*2	Normal Metabolizer	6
1000G_IBS	CYP2B6	*1/*22	Rapid Metabolizer	1
1000G_IBS	CYP2B6	*1/*4	Rapid Metabolizer	2
1000G_IBS	CYP2B6	*1/*5	Normal Metabolizer	13
1000G_IBS	CYP2B6	*1/*6	Intermediate Metabolizer	13
1000G_IBS	CYP2B6	*1/*9	Intermediate Metabolizer	8
1000G_IBS	CYP2B6	*2/*2	Normal Metabolizer	1
1000G_IBS	CYP2B6	*2/*6	Intermediate Metabolizer	3
1000G_IBS	CYP2B6	*2/*9	Intermediate Metabolizer	1
1000G_IBS	CYP2B6	*4/*4	Ultrarapid Metabolizer	1
1000G_IBS	CYP2B6	*5/*5	Normal Metabolizer	1
1000G_IBS	CYP2B6	*5/*6	Intermediate Metabolizer	2
1000G_IBS	CYP2B6	*6/*6	Poor Metabolizer	3
1000G_IBS	CYP2B6	*6/*9	Poor Metabolizer	1
1000G_IBS	CYP2B6	*9/*9	Poor Metabolizer	3
1000G_IBS	CYP2C19	*1/*1	Normal Metabolizer	68
1000G_IBS	CYP2C19	*1/*2	Intermediate Metabolizer	24
1000G_IBS	CYP2C19	*1/*4	Intermediate Metabolizer	1
1000G_IBS	CYP2C9	*1/*1	Normal Metabolizer	55
1000G_IBS	CYP2C9	*1/*2	Intermediate Metabolizer	17
1000G_IBS	CYP2C9	*1/*3	Intermediate Metabolizer	13
1000G_IBS	CYP2C9	*1/*8	Intermediate Metabolizer	1
1000G_IBS	CYP2C9	*2/*2	Intermediate Metabolizer	3
1000G_IBS	CYP2C9	*2/*3	Poor Metabolizer	4
1000G_IBS	CYP2D6	*1/*1	Normal Metabolizer	11
1000G_IBS	CYP2D6	*1/*10	Normal Metabolizer	3
1000G_IBS	CYP2D6	*1/*108	Indeterminate	1
1000G_IBS	CYP2D6	*1/*2	Normal Metabolizer	15
1000G_IBS	CYP2D6	*1/*3	Intermediate Metabolizer	1
1000G_IBS	CYP2D6	*1/*31	Intermediate Metabolizer	1
1000G_IBS	CYP2D6	*1/*4	Intermediate Metabolizer	6
1000G_IBS	CYP2D6	*1/*41	Normal Metabolizer	2
1000G_IBS	CYP2D6	*1/*43	Indeterminate	1
1000G_IBS	CYP2D6	*1/*9	Normal Metabolizer	1
1000G_IBS	CYP2D6	*10/*10	Intermediate Metabolizer	2
1000G_IBS	CYP2D6	*10/*41	Intermediate Metabolizer	1
1000G_IBS	CYP2D6	*2/*117	Indeterminate	1
1000G_IBS	CYP2D6	*2/*2	Normal Metabolizer	25
1000G_IBS	CYP2D6	*2/*28	Indeterminate	1
1000G_IBS	CYP2D6	*2/*35	Normal Metabolizer	2
1000G_IBS	CYP2D6	*2/*4	Intermediate Metabolizer	2
1000G_IBS	CYP2D6	*2/*41	Normal Metabolizer	3
1000G_IBS	CYP2D6	*2/*9	Normal Metabolizer	1
1000G_IBS	CYP2D6	*4/*35	Intermediate Metabolizer	3
1000G_IBS	CYP2D6	*4/*4	Poor Metabolizer	4
1000G_IBS	CYP2D6	*4/*9	Intermediate Metabolizer	1
1000G_IBS	CYP2D6	*41/*41	Intermediate Metabolizer	2
1000G_IBS	CYP2D6	*65/*65	Indeterminate	1
1000G_IBS	CYP2D6	*9/*35	Normal Metabolizer	1
1000G_IBS	CYP2D6	*9/*41	Intermediate Metabolizer	1
1000G_IBS	CYP3A5	*1/*1	Normal Metabolizer	1
1000G_IBS	CYP3A5	*1/*3	Intermediate Metabolizer	3
1000G_IBS	CYP3A5	*3/*3	Poor Metabolizer	87
1000G_IBS	CYP3A5	*3/*6	Poor Metabolizer	2
1000G_IBS	CYP4F2	*1/*1	Indeterminate	18
1000G_IBS	CYP4F2	*1/*17	Indeterminate	17
1000G_IBS	CYP4F2	*1/*2	Indeterminate	1
1000G_IBS	CYP4F2	*1/*3	Indeterminate	18
1000G_IBS	CYP4F2	*1/*4	Indeterminate	17
1000G_IBS	CYP4F2	*1/*5	Indeterminate	2
1000G_IBS	CYP4F2	*1/*6	Indeterminate	3
1000G_IBS	CYP4F2	*3/*17	Indeterminate	1
1000G_IBS	CYP4F2	*3/*3	Indeterminate	4
1000G_IBS	CYP4F2	*3/*4	Indeterminate	3
1000G_IBS	CYP4F2	*4/*17	Indeterminate	3
1000G_IBS	CYP4F2	*4/*4	Indeterminate	4
1000G_IBS	CYP4F2	*4/*5	Indeterminate	2
1000G_IBS	DPYD	Reference/Reference	Normal Metabolizer	26
1000G_IBS	DPYD	Reference/c.1601G>A (*4)	Normal Metabolizer	3
1000G_IBS	DPYD	Reference/c.1627A>G (*5)	Normal Metabolizer	12
1000G_IBS	DPYD	Reference/c.2194G>A (*6)	Normal Metabolizer	1
1000G_IBS	DPYD	Reference/c.295_298delTCAT (*7)	Intermediate Metabolizer	1
1000G_IBS	DPYD	Reference/c.496A>G	Normal Metabolizer	8
1000G_IBS	DPYD	Reference/c.85T>C (*9A)	Normal Metabolizer	13
1000G_IBS	DPYD	c.1601G>A (*4)/c.1601G>A (*4)	Normal Metabolizer	1
1000G_IBS	DPYD	c.1601G>A (*4)/c.1627A>G (*5)	Normal Metabolizer	3
1000G_IBS	DPYD	c.1627A>G (*5)/c.1627A>G (*5)	Normal Metabolizer	6
1000G_IBS	DPYD	c.1627A>G (*5)/c.2194G>A (*6)	Normal Metabolizer	2
1000G_IBS	DPYD	c.2194G>A (*6)/c.2194G>A (*6)	Normal Metabolizer	1
1000G_IBS	DPYD	c.496A>G/c.1601G>A (*4)	Normal Metabolizer	2
1000G_IBS	DPYD	c.496A>G/c.1627A>G (*5)	Normal Metabolizer	4
1000G_IBS	DPYD	c.85T>C (*9A)/c.1627A>G (*5)	Normal Metabolizer	4
1000G_IBS	DPYD	c.85T>C (*9A)/c.496A>G	Normal Metabolizer	3
